액션,모험,판타지,SF,가족,애니메이션,코미디,드라마,공포,스릴러,음악,역사,범죄,미스터리,TV 영화,로맨스,전쟁,다큐멘터리,서부
5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
4,0,0,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0
4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
6,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0
4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0
6,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
5,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0
0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0
6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,5,0,0,5,5,0,0,0,0,0
4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0
0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0
0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0
4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0
0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0
5,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0
4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0
6,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0
0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,5,0,0,0
0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0
0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0
0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,4,0,0,0
4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0
5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,6,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0
5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
5,0,0,0,0,0,0,5,0,5,0,5,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0
0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,5,5,0,0,0,5,0,5,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,5,0,5,0,0,5,5,0,0,0,0,0
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0
4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0
6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0
5,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0
5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,5,5,0,0,5,0,0,0,5,5,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0
0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,6,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0
0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0
0,0,6,0,6,0,6,6,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0
0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0
0,0,4,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0
5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0
4,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
5,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0
0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0
5,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0
4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
5,5,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0
0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0
4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0
6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
0,0,0,5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0
4,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0
0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,7
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,5,0,0,5,5,0,0,0,0,0
4,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
0,0,0,4,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
0,4,4,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0
5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0
6,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
6,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0
0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0
0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0
5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0
0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
5,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0
4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
4,4,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,0,0,0,0
0,0,6,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
4,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,5,0,5,0,0,5,5,0,0,0,0,0
5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0
0,0,0,7,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0
5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,5,5,0,0,5,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0
0,4,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
5,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0
5,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0
0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,7,0,0,0
4,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0
5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
